General Tso's chicken	ingredient	Sugar
General Tso's chicken	ingredient	Sesame
General Tso's chicken	ingredient	Scallion
General Tso's chicken	ingredient	Chili pepper
General Tso's chicken	ingredient	Batter (cooking)
Paneer	ingredient	Milk
Gulab jamun	ingredient	Khoa
Gulab jamun	ingredient	Saffron
Sloppy joe	ingredient	Beef mince
Sloppy joe	ingredient	Ketchup
Frikadeller	ingredient	Pork
Frikadeller	ingredient	Veal
Bamba (snack)	ingredient	Peanut butter
Raita	ingredient	Yoghurt
Raita	ingredient	Cucumber
Raita	ingredient	Mentha
Tabbouleh	ingredient	Bulgur
Italian beef	ingredient	Roast beef
Æbleskiver	ingredient	Wheat flour
Aavakaaya	ingredient	Mango
Kamarcut	ingredient	Jaggery
Kamarcut	ingredient	Sugar
Bananas Foster	ingredient	Banana
Bananas Foster	ingredient	Vanilla
Bananas Foster	ingredient	Butter
Bananas Foster	ingredient	Brown sugar
Bananas Foster	ingredient	Cinnamon
Bananas Foster	ingredient	Rum
Bananas Foster	ingredient	Liqueur
Deviled egg	ingredient	Egg (food)
Deviled egg	ingredient	Mayonnaise
Deviled egg	ingredient	Mustard (condiment)
Bombay mix	ingredient	Lentil
Arroz a la cubana	ingredient	Rice
Jalebi	ingredient	Maida flour
Jalebi	ingredient	Saffron
Jalebi	ingredient	Ghee
Jalebi	ingredient	Sugar
Karedok	ingredient	Vegetable
Karedok	ingredient	Peanut sauce
Panipuri	ingredient	Onion
Garlic chutney	ingredient	Yoghurt
Garlic chutney	ingredient	Garlic
Orange chicken	ingredient	Chicken (food)
Jamón serrano	ingredient	Ham
Double ka meetha	ingredient	Bread
Double ka meetha	ingredient	Milk
Salmorejo	ingredient	Tomato
Muffuletta	ingredient	Olive
Muffuletta	ingredient	Capicola
Muffuletta	ingredient	Salami
Muffuletta	ingredient	Mortadella
Muffuletta	ingredient	Emmental (cheese)
Muffuletta	ingredient	Provolone
Chicken fingers	ingredient	Chicken
French onion soup	ingredient	Onion
French onion soup	ingredient	Broth
French onion soup	ingredient	Crouton
French onion soup	ingredient	Cheese
Vark	ingredient	Silver
Gado-gado	ingredient	Vegetable
Gado-gado	ingredient	Peanut sauce
Maple taffy	ingredient	Maple
Maple taffy	ingredient	Snow
Migas	ingredient	Bread
Cocoa Puffs	ingredient	Maize
Cocoa Puffs	ingredient	Sugar
Cocoa Puffs	ingredient	Corn syrup
Cocoa Puffs	ingredient	Cornmeal
Cocoa Puffs	ingredient	Canola
Cocoa Puffs	ingredient	Rice bran oil
Cocoa Puffs	ingredient	Cocoa solids
Ensaïmada	ingredient	Pastry
Smalahove	ingredient	Lamb and mutton
Bhatoora	ingredient	Flour
Bhatoora	ingredient	Ghee
Cashew chicken	ingredient	Chicken (food)
Cashew chicken	ingredient	Cashew
Cashew chicken	ingredient	Oyster sauce
Beef on weck sandwich	ingredient	Kaiser roll #Kummelweck
Beef on weck sandwich	ingredient	Horseradish #Culinary uses
Beef on weck sandwich	ingredient	Au jus
Chicago-style hot dog	ingredient	Celery salt
Kheer	ingredient	Rice
Kheer	ingredient	Milk
Kheer	ingredient	Cardamom
Kheer	ingredient	Saffron
Kheer	ingredient	Pistachio
Kheer	ingredient	Almond
Chistorra	ingredient	Mincing
Lay's WOW chips	ingredient	Olestra
American chop suey	ingredient	Macaroni
American chop suey	ingredient	Beef mince
Papadum	ingredient	Lentil
Papadum	ingredient	Chickpea
Papadum	ingredient	Vigna mungo
Chicharrón	ingredient	Pork
Falooda	ingredient	Milk
Luther Burger	ingredient	Doughnut
Rasgulla	ingredient	Chhena
Rasgulla	ingredient	Sugar
Arròs negre	ingredient	White rice
Arròs negre	ingredient	Cuttlefish
Arròs negre	ingredient	Squid
Arròs negre	ingredient	Cephalopod ink
Arròs negre	ingredient	Cubanelle
Halo-halo	ingredient	Ice
Halo-halo	ingredient	Milk
Halo-halo	ingredient	Fruit
Nihari	ingredient	Beef shank
Nihari	ingredient	Lamb and mutton
Jhajariya	ingredient	Ghee
Sweet and sour pork	ingredient	Pork
Sweet and sour pork	ingredient	Sweet and sour sauce
Sweet and sour pork	ingredient	Pineapple
Sweet and sour pork	ingredient	Bell pepper
Sweet and sour pork	ingredient	Onion
Sinigang	ingredient	Tamarind
Sinigang	ingredient	Fish sauce
Sinigang	ingredient	Siling mahaba
Lumpia	ingredient	Crepe
Lumpia	ingredient	Meat
Lumpia	ingredient	Vegetable
Tinola	ingredient	Chicken
Tinola	ingredient	Bird's eye chili
Tinola	ingredient	Ginger
Tinola	ingredient	Onion
Tinola	ingredient	Fish sauce
Mechado	ingredient	Soy sauce
Mechado	ingredient	Vinegar
Mechado	ingredient	Garlic
Mechado	ingredient	Calamondin
