RON CARTER	INSTRUMENT	DOUBLE BASS
RON CARTER	INSTRUMENT	CELLO
RON CARTER	INSTRUMENT	PICCOLO BASS
RON CARTER	INSTRUMENT	ELECTRIC BASS
SCHOOLLY D	INSTRUMENT	VOCALS, ROLAND TR-909
STEVE LACY	INSTRUMENT	SOPRANO SAXOPHONE
SCOTT JOPLIN	INSTRUMENT	PIANO, CORNET, GUITAR, MANDOLIN, VIOLIN, BANJO, VOCALS
TOMMY LEE	INSTRUMENT	*
TOMMY LEE	INSTRUMENT	DRUM KIT
TOMMY LEE	INSTRUMENT	KEYBOARD INSTRUMENT
TOM WAITS	INSTRUMENT	*
TOM WAITS	INSTRUMENT	SINGING
TOM WAITS	INSTRUMENT	GUITAR
TOM WAITS	INSTRUMENT	PIANO
TREVOR JONES	INSTRUMENT	SYNTHESIZER
TORI AMOS	INSTRUMENT	PIANO
TORI AMOS	INSTRUMENT	HARPSICHORD
TORI AMOS	INSTRUMENT	CLAVICHORD
TORI AMOS	INSTRUMENT	HAMMOND ORGAN
TORI AMOS	INSTRUMENT	PUMP ORGAN
TORI AMOS	INSTRUMENT	CLAVINET
TORI AMOS	INSTRUMENT	VOCALS
VANGELIS	INSTRUMENT	PIANO, SYNTHESIZER, KEYBOARDS, HAMMOND ORGAN, DRUMS, PERCUSSION
WOODY GUTHRIE	INSTRUMENT	* VOCALS\N* GUITAR\N* HARMONICA\N*
WOODY GUTHRIE	INSTRUMENT	MANDOLIN
WOODY GUTHRIE	INSTRUMENT	*
WOODY GUTHRIE	INSTRUMENT	FIDDLE
WENDY CARLOS	INSTRUMENT	SYNTHESIZER, KEYBOARDS, VOCODER
LINDSEY BUCKINGHAM	INSTRUMENT	GUITAR
LINDSEY BUCKINGHAM	INSTRUMENT	VOCALS
MICK FLEETWOOD	INSTRUMENT	DRUMS
MICK FLEETWOOD	INSTRUMENT	,
MICK FLEETWOOD	INSTRUMENT	PERCUSSION INSTRUMENT
HERBIE HANCOCK	INSTRUMENT	PIANO, ELECTRIC PIANO, KEYBOARDS, SYNTHESIZERS, WORKSTATION SYNTHESIZERS, ORGAN, CLAVINET, KEYTAR, VOCODER, FAIRLIGHT CMI
JUAN GARCíA ESQUIVEL	INSTRUMENT	PIANO
PETER TORK	INSTRUMENT	*
PETER TORK	INSTRUMENT	BASS GUITAR
PETER TORK	INSTRUMENT	KEYBOARDS
PETER TORK	INSTRUMENT	VOCALS
STEVE GOODMAN	INSTRUMENT	*
STEVE GOODMAN	INSTRUMENT	VOCALS
STEVE GOODMAN	INSTRUMENT	GUITAR
BIX BEIDERBECKE	INSTRUMENT	CORNET, PIANO
RAHSAAN ROLAND KIRK	INSTRUMENT	TENOR SAXOPHONE
RAHSAAN ROLAND KIRK	INSTRUMENT	CLARINET
RAHSAAN ROLAND KIRK	INSTRUMENT	STRITCH
RAHSAAN ROLAND KIRK	INSTRUMENT	MANZELLO
RAHSAAN ROLAND KIRK	INSTRUMENT	NOSE FLUTE
RAHSAAN ROLAND KIRK	INSTRUMENT	FLUTE
RAHSAAN ROLAND KIRK	INSTRUMENT	COR ANGLAIS
RAHSAAN ROLAND KIRK	INSTRUMENT	KEYBOARD INSTRUMENT
